ENTRY	GENES	NAME
EC 2.4.99.17	[u'queA']	[u'QueA']
EC 2.5.1.1	[u'ispA']	[u'IspA']
EC 2.5.1.10	[u'ispA']	[u'IspA']
EC 2.5.1.15	[u'folP']	[u'DhpS']
EC 2.5.1.16	[u'speE']	[u'SpeE']
EC 2.5.1.17	[u'btuR', u'eutT']	[u'EutT', u'BtuR']
EC 2.5.1.18	[u'gstA', u'yfcG']	[u'YfcG', u'GstA']
EC 2.5.1.19	[u'aroA']	[u'AroA']
EC 2.5.1.3	[u'thiE']	[u'ThiE']
EC 2.5.1.47	[u'cysK', u'cysM']	[u'CysM', u'CysK']
EC 2.5.1.48	[u'metB']	[u'MetB']
EC 2.5.1.54	[u'aroG', u'aroH', u'aroF']	[u'AroF', u'AroG', u'AroH']
EC 2.5.1.55	[u'kdsA']	[u'KdsA']
EC 2.5.1.6	[u'metK']	[u'MetK']
EC 2.5.1.61	[u'hemC']	[u'Hem3']
EC 2.5.1.7	[u'murA']	[u'MurA']
EC 2.5.1.72	[u'nadA']	[u'NadA']
EC 2.5.1.74	[u'menA']	[u'MenA']
EC 2.5.1.75	[u'miaA']	[u'MiaA']
EC 2.5.1.78	[u'ribE']	[u'RisA']
EC 2.5.1.9	[u'ribC']	[u'RisA']
EC 2.5.1.90	[u'ispB']	[u'IspB']
EC 2.6.1.1	[u'aspC']	[u'Aat']
EC 2.6.1.11	[u'argD']	[u'ArgD']
EC 2.6.1.16	[u'glmS']	[u'GlmS']
EC 2.6.1.17	[u'argD']	[u'ArgD']
EC 2.6.1.19	[u'puuE', u'gabT']	[u'GabT', u'PuuE']
EC 2.6.1.2	[u'alaA']	[u'AlaA']
EC 2.6.1.22	[u'gabT']	[u'GabT']
EC 2.6.1.42	[u'ilvE']	[u'IlvE']
EC 2.6.1.52	[u'serC']	[u'SerC']
EC 2.6.1.57	[u'tyrB']	[u'TyrB']
EC 2.6.1.59	[u'wecE']	[u'RffA']
EC 2.6.1.62	[u'bioA']	[u'BioA']
EC 2.6.1.66	[u'alaA', u'avtA']	[u'AvtA', u'AlaA']
EC 2.6.1.81	[u'astC']	[u'AstC']
EC 2.6.1.82	[u'patA']	[u'Pat']
EC 2.6.1.85	[u'pabB', u'pabA']	[u'PabB', u'PabA']
EC 2.6.1.87	[u'arnB']	[u'ArnB']
EC 2.6.99.2	[u'pdxJ']	[u'PdxJ']
EC 2.7.1.107	[u'dgkA']	[u'KdgL']
EC 2.7.1.11	[u'pfkB', u'pfkA']	[u'PfkB', u'PfkA']
EC 2.7.1.12	[u'gntK', u'idnK']	[u'GntK', u'IdnK']
EC 2.7.1.148	[u'ispE']	[u'IspE']
EC 2.7.1.15	[u'rbsK']	[u'RbsK']
EC 2.7.1.16	[u'araB']	[u'AraB']
EC 1.1.1.35	[u'fadJ', u'fadB']	[u'FadB', u'FadJ']
EC 2.5.1.31	[u'ispU']	[u'UppS']
EC 1.1.1.23	[u'hisD']	[u'HisX']
EC 2.3.1.9	[u'atoB', u'yqeF']	[u'YqeF', u'AtoB']
EC 6.3.1.8	[u'gss']	[u'Gsp']
EC 2.7.2.8	[u'argB']	[u'ArgB']
EC 2.10.1.1	[u'moeA']	[u'MoeA']
EC 1.8.5.3	[u'dmsA']	[u'DmsA']
EC 2.3.1.129	[u'lpxA']	[u'LpxA']
EC 3.2.2.27	[u'ung']	[u'Ung']
EC 3.4.11.1	[u'pepA']	[u'AmpA']
EC 4.1.1.15	[u'gadB', u'gadA']	[u'DceA', u'DceB']
EC 4.1.1.85	[u'sgbH', u'ulaD']	[u'SgbH', u'UlaD']
EC 5.3.1.6	[u'rpiA', u'rpiB']	[u'RpiA', u'RpiB']
EC 6.1.1.6	[u'lysS', u'lysU', u'epmA']	[u'EpmA', u'Syk1', u'Syk2']
EC 6.3.2.4	[u'ddlB', u'ddlA']	[u'DdlA', u'DdlB']
EC 6.3.4.13	[u'purD']	[u'Pur2']
EC 1.12.99.6	[u'hyaA', u'hyaB', u'hybC', u'hybO']	MbhT
