Protein	TU	Function	Evidence that supports the existence of the regulatory interaction
RpoD	racR[racRp3]	+	[ICWHO]
RpoD	racR[racRp4]	+	[ICWHO]
RpoD	racR[racRp5]	+	"[ICWHO, RS-EPT-CBR]"
RpoD	rarD[rarDp1]	+	[ICWHO]
RpoD	rarD[rarDp2]	+	[ICWHO]
RpoD	rarD[rarDp3]	+	[ICWHO]
RpoD	rayT[rayTp8]	+	[ICWHO]
RpoD	rbn[rbnp4]	+	[ICWHO]
RpoD	rbsDACBKR[rbsDp]	+	[TIM]
RpoD	rclA[ykgCp4]	+	[ICWHO]
RpoD	rclC[ykgBp4]	+	[ICWHO]
RpoD	rclC[ykgBp7]	+	[ICWHO]
RpoD	rclC[ykgBp9]	+	[ICWHO]
RpoD	rclC[ykgBp10]	+	[ICWHO]
RpoD	rclR[ykgDp2]	+	[ICWHO]
RpoD	rclR[ykgDp3]	+	[ICWHO]
RpoD	rcnAB[rcnAp]	+	[TIM]
RpoD	rcnR[rcnRp]	+	[TIM]
RpoD	rcsA[rcsAp]	+	"[HIPP, TIM]"
RpoD	rcsB[rcsBp1]	+	[TIM]
RpoD	rcsB[rcsBp2]	+	[TIM]
RpoD	rcsDB[rcsDp]	+	[TIM]
RpoD	rdlA[rdlAp5]	+	[ICWHO]
RpoD	rdlB[rdlBp4]	+	[ICWHO]
RpoD	rdlC[rdlCp3]	+	[ICWHO]
RpoD	rdlD[rdlDp]	+	"[HIPP, TIM]"
RpoD	rdoA-dsbA[rdoAp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	recA[recAp]	+	"[HIPP, TIM]"
RpoD	recAX[recAp]	+	"[HIPP, TIM]"
RpoD	recC[recCp]	+	"[HIPP, TIM]"
RpoD	recN[recNp]	+	[HIPP]
RpoD	recQ[recQp2]	+	[ICWHO]
RpoD	relA-mazEF[relAp1]	+	"[HTTIM, TIM]"
RpoD	relA-mazEF[relAp2]	+	"[HTTIM, SM, TIM, CV(SM/TIM)]"
RpoD	relBE-hokD[relBp]	+	[TIM]
RpoD	rem[remp2]	+	[ICWHO]
RpoD	rfaD-waaFCL[rfaDp1]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	rfaH[rfaHp4]	+	[ICWHO]
RpoD	rfaH[rfaHp5]	+	[ICWHO]
RpoD	rfbX[rfbXp6]	+	[ICWHO]
RpoD	rfbX[rfbXp7]	+	[ICWHO]
RpoD	rfbX[rfbXp8]	+	[ICWHO]
RpoD	rfe-wzzE-rffEDGHCA-wzxE-rffT-wzyE-rffM[rfep]	+	[AIPP]
RpoD	rhaBAD[rhaBp]	+	[TIM]
RpoD	rhaT[rhaTp]	+	"[HIPP, TIM]"
RpoD	rhsB[rhsBp8]	+	[ICWHO]
RpoD	rhsB[rhsBp10]	+	[ICWHO]
RpoD	rhsB[rhsBp11]	+	[ICWHO]
RpoD	rhsD-ybbC-ylbH-ybbD[rhsDp8]	+	[ICWHO]
RpoD	rhtA[rhtAp8]	+	[ICWHO]
RpoD	ribA[ribAp1]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	ribA[ribAp2]	+	"[HIPP, TIM]"
RpoD	ribC[ribCp5]	+	[ICWHO]
RpoD	ribF-ileS-lspA-fkpB-ispH[ribFp]	+	"[FP, RS-EPT-CBR, TIM, CV(FP/RS-EPT-CBR), CV(FP/TIM)]"
RpoD	rihB[rihBp]	+	"[HIPP, TIM]"
RpoD	rimK-ybjN[rimKp]	+	"[HIPP, IMP]"
RpoD	rimP-nusA-infB[rimPp]	+	"[HTTIM, HIPP, IEP, TIM]"
RpoD	rlmA[rlmAp9]	+	[ICWHO]
RpoD	rlmE-ftsH[rlmEp1]	+	"[HIPP, TIM]"
RpoD	rlmF[rlmFp7]	+	[ICWHO]
RpoD	rlmI[rlmIp4]	+	[ICWHO]
RpoD	rlpA[rlpAp7]	+	[ICWHO]
RpoD	rmf[rmfp4]	+	[ICWHO]
RpoD	rmf[rmfp5]	+	[ICWHO]
RpoD	rnb[rnbp1]	+	"[HIPP, TIM]"
RpoD	rnb[rnbp2]	+	"[HIPP, TIM]"
RpoD	rnc-era[rncp]	+	"[HIPP, TIM]"
RpoD	rnc-era-recO-pdxJ-acpS[rncp]	+	"[HIPP, TIM]"
RpoD	rnd[rndp]	+	[TIM]
RpoD	rne[rnep1]	+	"[HIPP, TIM]"
RpoD	rne[rnep2]	+	[TIM]
RpoD	rne[rnep3]	+	[TIM]
RpoD	rnk[rnkp6]	+	[ICWHO]
RpoD	rnlAB[rnlAp2]	+	"[RS-EPT-CBR, TIM]"
RpoD	rnlB[rnlBp2]	+	[TIM]
RpoD	rodZ[rodZp1]	+	[ICWHO]
RpoD	rodZ[rodZp2]	+	[ICWHO]
RpoD	rpiB[rpiBp]	+	"[HIPP, TIM]"
RpoD	rpiR-alsBACE[alsRp2]	+	"[HIPP, TIM]"
RpoD	rpiR-alsBACE[alsRp1]	+	[TIM]
RpoD	rplM-rpsI[rplMp]	+	[AIPP]
RpoD	rplU-rpmA[rplUp]	+	[HIPP]
RpoD	rplY[rplYp3]	+	[ICWHO]
RpoD	rplY[rplYp5]	+	[ICWHO]
RpoD	rplY[rplYp6]	+	[ICWHO]
RpoD	rpmA[rpmAp4]	+	[ICWHO]
RpoD	rpmI-rplT[rpmIp]	+	"[HTTIM, TIM]"
RpoD	rpoD[rpoDp1]	+	"[HIPP, IMP, TIM]"
RpoD	rpoD[rpoDp2]	+	"[HIPP, IMP, TIM]"
RpoD	rpoH[rpoHp5]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	rpoH[rpoHp4]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	rpoN-hpf-ptsN-rapZ-npr[rpoNp]	+	[HIPP]
RpoD	rpoS[rpoSp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	rpoZ-spoT-trmH-recG[rpoZp]	+	"[RS-EPT-CBR, TAS]"
RpoD	rpsA-ihfB[rpsAp1]	+	"[HIPP, TIM]"
RpoD	rpsA-ihfB[rpsAp3]	+	"[HIPP, TIM]"
RpoD	rpsF-priB-rpsR-rplI[rpsFp]	+	"[HTTIM, RS-EPT-CBR]"
RpoD	rpsI[rpsIp2]	+	[ICWHO]
RpoD	rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ[rpsJp]	+	[FP]
RpoD	rpsMKD-rpoA-rplQ[rpsMp2]	+	"[HTTIM, HIPP, RS-EPT-CBR, TIM]"
RpoD	rpsP-rimM-trmD-rplS[rpsPp]	+	"[RS-EPT-CBR, TIM]"
RpoD	rpsU[rpsUp1]	+	"[HTTIM, HIPP, RS-EPT-CBR, TIM]"
RpoD	rpsU-dnaG-rpoD[rpsUp1]	+	"[HTTIM, HIPP, RS-EPT-CBR, TIM]"
RpoD	rpsU-dnaG-rpoD[rpsUp2]	+	"[HTTIM, HIPP, IMP, TIM]"
RpoD	rpsU-dnaG-rpoD[rpsUp3]	+	"[HTTIM, HIPP, IMP]"
RpoD	rraB[rraBp1]	+	"[HIPP, TIM]"
RpoD	rrsA-ileT-alaT-rrlA-rrfA[rrsAp2]	+	[RS-EPT-CBR]
RpoD	rrsB-gltT-rrlB-rrfB[rrsBp2]	+	"[AIPP, TIM]"
RpoD	rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF[rrsDp2]	+	"[HIPP, TIM]"
RpoD	rrsH-ileV-alaV-rrlH-rrfH[rrsHp2]	+	[HTTIM]
RpoD	rsd[rsdp2]	+	"[HIPP, TIM]"
RpoD	rsgA[rsgAp12]	+	[ICWHO]
RpoD	rsmC[rsmCp3]	+	[ICWHO]
RpoD	rsmE-gshB[rsmEp4]	+	[ICWHO]
RpoD	rsmG[rsmGp]	+	[AIPP]
RpoD	rsuA[rsuAp2]	+	[ICWHO]
RpoD	rtn[rtnp1]	+	[ICWHO]
RpoD	rutR[rutRp2]	+	"[FP, HIPP]"
RpoD	ruvB[ruvBp3]	+	[ICWHO]
RpoD	ruvC[ruvCp]	+	[HIPP]
RpoD	rybA-mntS[rybAp]	+	[TIM]
RpoD	rydB[rydBp2]	+	[ICWHO]
RpoD	rydC[rydCp]	+	"[HIPP, TIM]"
RpoD	ryfD[ryfDp]	+	[TIM]
RpoD	ryhB[ryhBp]	+	"[AIPP, TIM]"
RpoD	ryjB[ryjBp]	+	[TIM]
RpoD	safA-ydeO[safAp]	+	"[HIPP, TIM]"
RpoD	sbcDC[sbcDp]	+	[HIPP]
RpoD	sdaCB[sdaCp]	+	[AIPP]
RpoD	sdhCDAB-sucABCD[sdhCp]	+	"[HIPP, TIM]"
RpoD	sdhDAB[sdhDp2]	+	"[HIPP, TIM]"
RpoD	sdiA[sdiAp6]	+	[ICWHO]
RpoD	sdiA[sdiAp2]	+	"[ICWHO, TIM]"
RpoD	sdiA[sdiAp8]	+	[ICWHO]
RpoD	sdiA[sdiAp1]	+	[TIM]
RpoD	sdiA[sdiAp3]	+	[TIM]
RpoD	sdiA[sdiAp4]	+	[TIM]
RpoD	secG-leuU[secGp1]	+	"[HIPP, TIM]"
RpoD	secG-leuU[secGp2]	+	"[HIPP, TIM]"
RpoD	selB[selBp5]	+	[ICWHO]
RpoD	serA[serAp2]	+	"[HIPP, IMP, TIM]"
RpoD	serA[serAp1]	+	"[HIPP, IMP, TIM]"
RpoD	serC[serCp]	+	[TIM]
RpoD	serC-aroA[serCp]	+	[TIM]
RpoD	serT[serTp]	+	"[HTTIM, HIPP]"
RpoD	serU[serUp]	+	[HIPP]
RpoD	serV-argVYZQ[serVp]	+	[HIPP]
RpoD	serW[serWp]	+	[HIPP]
RpoD	serX[serXp]	+	[HIPP]
RpoD	setB[setBp2]	+	[ICWHO]
RpoD	setB[setBp3]	+	[ICWHO]
RpoD	setC[setCp10]	+	[ICWHO]
RpoD	setC[setCp12]	+	[ICWHO]
RpoD	setC[setCp13]	+	[ICWHO]
RpoD	sfmA[sfmAp4]	+	[ICWHO]
RpoD	sfmA[sfmAp6]	+	[ICWHO]
RpoD	sfmCD[sfmCp4]	+	[ICWHO]
RpoD	sfmCD[sfmCp5]	+	[ICWHO]
RpoD	sfsA-dksA[sfsAp]	+	[HIPP]
RpoD	sfsB[sfsBp2]	+	[ICWHO]
RpoD	sfsB[sfsBp3]	+	[ICWHO]
RpoD	sgrR-sroA-tbpA-thiPQ[sgrRp]	+	[AIPP]
RpoD	shiA[shiAp11]	+	[ICWHO]
RpoD	shiA[shiAp]	+	"[RS-EPT-CBR, TIM]"
RpoD	shoB[shoBp]	+	[TIM]
RpoD	sibA[sibAp]	+	[TIM]
RpoD	sibB[sibBp]	+	[TIM]
RpoD	sibD[sibDp]	+	"[RS-EPT-CBR, TIM]"
RpoD	sibE[sibEp]	+	[TIM]
RpoD	slp-dctR[slpp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	slyA[slyAp10]	+	[ICWHO]
RpoD	slyA[slyAp13]	+	[ICWHO]
RpoD	slyA[slyAp14]	+	[ICWHO]
RpoD	slyD[slyDp6]	+	[ICWHO]
RpoD	smpB[smpBp5]	+	[ICWHO]
RpoD	smrB[smrBp6]	+	[ICWHO]
RpoD	smtA-mukFEB[smtAp]	+	[HIPP]
RpoD	sodA[sodAp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	sodB[sodBp]	+	"[IMP, TIM]"
RpoD	sohB[sohBp2]	+	"[HIPP, RS-EPT-CBR]"
RpoD	sokB[sokBp3]	+	[ICWHO]
RpoD	soxR[soxRp]	+	"[HIPP, TIM]"
RpoD	soxS[soxSp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	speAB[speAp]	+	[HIPP]
RpoD	spf[spfp]	+	"[HTTIM, IMP, RS-EPT-CBR]"
RpoD	sppA[sppAp6]	+	[ICWHO]
RpoD	spy[spyp]	+	"[HIPP, TIM]"
RpoD	srlAEBD-gutM-srlR-gutQ[srlAp]	+	[TIM]
RpoD	ssb[ssbp2]	+	[TIM]
RpoD	ssb[ssbp1]	+	[TIM]
RpoD	ssb[ssbp3]	+	[TIM]
RpoD	ssnA[ssnAp]	+	[TIM]
RpoD	ssrA[ssrAp2]	+	[ICWHO]
RpoD	ssrA[ssrAp]	+	[TIM]
RpoD	ssrS[ssrSp1]	+	"[HTTIM, RS-EPT-CBR, TIM]"
RpoD	ssrS-fau[ssrSp1]	+	"[HTTIM, RS-EPT-CBR, TIM]"
RpoD	ssuB[ssuBp3]	+	[ICWHO]
RpoD	ssuEADCB[ssuEp]	+	"[HIPP, TIM]"
RpoD	stpA[stpAp1]	+	"[HIPP, TIM]"
RpoD	stpA[stpAp2]	+	"[HIPP, TIM]"
RpoD	sufABCDSE[sufAp]	+	"[HIPP, IMP, TIM]"
RpoD	sufE[sufEp3]	+	[ICWHO]
RpoD	sulA[sulAp]	+	"[FP, HTTIM, HIPP, TIM, CV(FP/TIM)]"
RpoD	symE[symEp]	+	"[HIPP, TAS]"
RpoD	symR[symRp]	+	"[HIPP, TAS, TIM]"
RpoD	tabA[tabAp4]	+	[ICWHO]
RpoD	tas[tasp4]	+	[ICWHO]
RpoD	tatABC[tatAp1]	+	"[ICWHO, RS-EPT-CBR]"
RpoD	tatABCD[tatAp1]	+	"[ICWHO, RS-EPT-CBR]"
RpoD	tatE[tatEp3]	+	[ICWHO]
RpoD	tdcG[tdcGp2]	+	[ICWHO]
RpoD	tdcR[tdcRp4]	+	[ICWHO]
RpoD	tdcR[tdcRp5]	+	[ICWHO]
RpoD	tdcR[tdcRp6]	+	[ICWHO]
RpoD	tdcR[tdcRp7]	+	[ICWHO]
RpoD	tdk[tdkp8]	+	[ICWHO]
RpoD	tff-rpsB-tsf[rpsBp]	+	"[HTTIM, RS-EPT-CBR, TIM]"
RpoD	thiQ[thiQp2]	+	[ICWHO]
RpoD	thrL[thrLp]	+	"[IMP, RS-EPT-CBR, TIM]"
RpoD	thrLABC[thrLp]	+	"[IMP, RS-EPT-CBR, TIM]"
RpoD	thrU-tyrU-glyT-thrT-tufB[thrUp]	+	[HIPP]
RpoD	thrW[thrWp]	+	[HIPP]
RpoD	tig[tigp]	+	"[AIPP, RS-EPT-CBR]"
RpoD	tnaC[tnaCp]	+	"[RS-EPT-CBR, TIM]"
RpoD	tnaCAB[tnaCp]	+	"[RS-EPT-CBR, TIM]"
RpoD	tolB-pal-ybgF[tolBp6]	+	[ICWHO]
RpoD	tomB-hha[tomBp1]	+	"[HIPP, TIM]"
RpoD	tonB[tonBp]	+	[TIM]
RpoD	topA[topAp2]	+	"[AIPP, HIPP, TIM]"
RpoD	topA[topAp3]	+	"[AIPP, HIPP, TIM]"
RpoD	topA[topAp4]	+	"[AIPP, HIPP, IMP, RS-EPT-CBR, TIM]"
RpoD	torCAD[torCp]	+	"[HIPP, TIM]"
RpoD	torR[torRp]	+	"[HIPP, TIM]"
RpoD	torS[torSp5]	+	[ICWHO]
RpoD	tppB[tppBp]	+	[TIM]
RpoD	tpr[tprp1]	+	[ICWHO]
RpoD	tpx[tpxp]	+	"[HIPP, IMP, TIM]"
RpoD	treBC[treBp]	+	"[HIPP, TIM]"
RpoD	treR[treRp2]	+	[TIM]
RpoD	treR[treRp3]	+	[TIM]
RpoD	treR[treRp4]	+	"[HIPP, IMP, TIM]"
RpoD	treR[treRp1]	+	[TIM]
RpoD	trkG[trkGp1]	+	[ICWHO]
RpoD	trkG[trkGp7]	+	[ICWHO]
RpoD	trkG[trkGp8]	+	[ICWHO]
RpoD	trpA[trpAp4]	+	[ICWHO]
RpoD	trpA[trpAp5]	+	[ICWHO]
RpoD	trpCBA[trpCp]	+	"[HIPP, TIM]"
RpoD	trpL[trpLp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	trpLEDCBA[trpLp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	trpR[trpRp]	+	"[FP, HIPP, TIM, CV(FP/TIM)]"
RpoD	trpS[trpSp]	+	"[RS-EPT-CBR, TIM]"
RpoD	trxA[trxAp1]	+	"[HIPP, TIM]"
RpoD	trxA[trxAp2]	+	"[HIPP, TIM]"
RpoD	trxC[trxCp]	+	"[HIPP, TIM]"
RpoD	tsaD[tsaDp2]	+	[ICWHO]
RpoD	tsaD[tsaDp3]	+	[ICWHO]
RpoD	tsr[tsrp1]	+	[HIPP]
RpoD	tsx[tsxp1]	+	"[HIPP, TIM]"
RpoD	tsx[tsxp2]	+	"[HIPP, IHBCE, TIM]"
RpoD	ttcA[ttcAp5]	+	[ICWHO]
RpoD	ttdABT[ttdAp]	+	[HIPP]
RpoD	tufA[tufAp1]	+	"[HIPP, IEP, TIM]"
RpoD	tufA[tufAp2]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	tusA[tusAp7]	+	[ICWHO]
RpoD	tynA[tynAp]	+	[AIPP]
RpoD	tynA[tynAp1]	+	[TIM]
RpoD	typA[typAp6]	+	"[ICWHO, RS-EPT-CBR]"
RpoD	tyrB[tyrBp]	+	"[FP, HIPP, RS-EPT-CBR, TIM, CV(FP/RS-EPT-CBR), CV(FP/TIM)]"
RpoD	tyrP[tyrPp1]	+	"[HIPP, TIM]"
RpoD	tyrR[tyrRp]	+	"[HIPP, TIM]"
RpoD	tyrTV-tpr[tyrTp]	+	"[FP, HTTIM, HIPP, IMP, TIM, CV(FP/TIM)]"
RpoD	ubiCA[ubiCp]	+	[HIPP]
RpoD	ubiD[ubiDp8]	+	[ICWHO]
RpoD	ubiD[ubiDp9]	+	[ICWHO]
RpoD	ubiEJB[ubiEp2]	+	[ICWHO]
RpoD	ubiG[ubiGp]	+	"[HIPP, RS-EPT-CBR]"
RpoD	udp[udpP]	+	[TIM]
RpoD	ugd[ugdp9]	+	[ICWHO]
RpoD	ugpBAECQ[ugpBp1]	+	"[HIPP, TIM]"
RpoD	ugpBAECQ[ugpBp2]	+	"[HIPP, TIM]"
RpoD	uhpT[uhpTp]	+	"[HIPP, TIM]"
RpoD	uidC[uidCp5]	+	[ICWHO]
RpoD	uidC[uidCp6]	+	[ICWHO]
RpoD	uidR[uidRp]	+	[AIPP]
RpoD	ulaABCDEF[ulaAp]	+	[TIM]
RpoD	umpG-pcm[surEp2]	+	"[RS-EPT-CBR, TIM]"
RpoD	umuDC[umuDp]	+	"[HIPP, TIM]"
RpoD	upp-uraA[uppp]	+	"[HIPP, TIM]"
RpoD	ushA[ushAp6]	+	[ICWHO]
RpoD	uspA[uspAp1]	+	"[HIPP, TIM]"
RpoD	uspC[uspCp2]	+	[ICWHO]
RpoD	uspC[uspCp4]	+	[ICWHO]
RpoD	uspC[uspCp5]	+	[ICWHO]
RpoD	uspC[uspCp6]	+	[ICWHO]
RpoD	uspC[uspCp8]	+	[ICWHO]
RpoD	uspC[uspCp9]	+	[ICWHO]
RpoD	uvrA[uvrAp]	+	[TIM]
RpoD	uvrB[uvrBp3]	+	[TIM]
RpoD	uvrB[uvrBp2]	+	[TIM]
RpoD	uvrB[uvrBp1]	+	[TIM]
RpoD	uvrC[uvrCp3]	+	"[HIPP, TIM]"
RpoD	uvrD[uvrDp1]	+	"[RS-EPT-CBR, TIM]"
RpoD	uvrYC[uvrYp2]	+	"[HIPP, TIM]"
RpoD	uxaB[uxaBp2]	+	[AIPP]
RpoD	uxaB[uxaBp]	+	[TIM]
RpoD	uxaCA[uxaCp]	+	[AIPP]
RpoD	uxuAB[uxuAp]	+	"[HIPP, TIM]"
RpoD	uxuR[uxuRp]	+	[AIPP]
RpoD	valS[valSp1]	+	"[RS-EPT-CBR, TIM]"
RpoD	valS[valSp2]	+	"[RS-EPT-CBR, TIM]"
RpoD	valUXY-lysV[valUp]	+	[HIPP]
RpoD	valVW[valVp]	+	"[HIPP, TIM]"
RpoD	waaA[waaAp1]	+	[TIM]
RpoD	waaA[waaAp2]	+	"[HIPP, TIM]"
RpoD	waaA-coaD[waaAp1]	+	[TIM]
RpoD	waaH[yibDp1]	+	[AIPP]
RpoD	waaQGPSBIJYZU[waaQp1]	+	"[HTTIM, TIM]"
RpoD	waaU[waaUp5]	+	[ICWHO]
RpoD	waaU[waaUp6]	+	[ICWHO]
RpoD	waaU[waaUp8]	+	[ICWHO]
RpoD	waaYZ[rfaYp]	+	[TIM]
RpoD	wbbH[rfcp8]	+	[ICWHO]
RpoD	wbbH[rfcp10]	+	[ICWHO]
RpoD	wbbH[rfcp11]	+	[ICWHO]
RpoD	wza-wzb-wzc-wcaAB[wzap]	+	"[HIPP, TIM]"
RpoD	wzxC[wzxCp5]	+	[ICWHO]
RpoD	wzzB[cldp6]	+	[ICWHO]
RpoD	xanP[xanPp4]	+	[ICWHO]
RpoD	xanQ-guaD-ghxQ[xanQp3]	+	[ICWHO]
RpoD	xapR[xapRp1]	+	"[HIPP, TIM]"
RpoD	xapR[xapRp2]	+	"[HIPP, TIM]"
RpoD	xseA[xseAp]	+	"[HIPP, RS-EPT-CBR]"
RpoD	xseB-ispA-dxs-yajO[xseBp]	+	[HIPP]
RpoD	yaaA[yaaAp5]	+	[ICWHO]
RpoD	yaaI[yaaIp2]	+	[ICWHO]
RpoD	yaaI[yaaIp3]	+	[ICWHO]
RpoD	yaaI[yaaIp4]	+	[ICWHO]
RpoD	yaaJ[yaaJp4]	+	[ICWHO]
RpoD	yaaX[yaaXp4]	+	[ICWHO]
RpoD	yacC-speED[yacCp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	yacH[yacHp5]	+	[ICWHO]
RpoD	yadD[yadDp3]	+	[ICWHO]
RpoD	yadN[yadNp7]	+	[ICWHO]
RpoD	yadN[yadNp8]	+	[ICWHO]
RpoD	yadS[yadSp5]	+	[ICWHO]
RpoD	yadS[yadSp6]	+	[ICWHO]
RpoD	yadV-htrE[yadVp1]	+	"[HIPP, TIM]"
RpoD	yadV-htrE[yadVp3]	+	"[HIPP, TIM]"
RpoD	yaeQ-arfB-nlpE[yaeQp6]	+	[ICWHO]
RpoD	yaeR[yaeRp3]	+	[ICWHO]
RpoD	yafK[yafKp6]	+	[ICWHO]
RpoD	yafL[yafLp6]	+	[ICWHO]
RpoD	yafNOP[yafNp]	+	"[IEP, TIM]"
RpoD	yafS[yafSp2]	+	[ICWHO]
RpoD	yafT[yafTp4]	+	[ICWHO]
RpoD	yafT[yafTp5]	+	[ICWHO]
RpoD	yafT[yafTp6]	+	[ICWHO]
RpoD	yagEF[yagEp3]	+	[ICWHO]
RpoD	yagEF[yagEp8]	+	[ICWHO]
RpoD	yagGH[yagGp6]	+	[ICWHO]
RpoD	yagGH[yagGp7]	+	[ICWHO]
RpoD	yagI[yagIp1]	+	[ICWHO]
RpoD	yagK[yagKp6]	+	[ICWHO]
RpoD	yagL[yagLp7]	+	[ICWHO]
RpoD	yagN[yagNp3]	+	[ICWHO]
RpoD	yagN[yagNp5]	+	[ICWHO]
RpoD	yagN[yagNp8]	+	[ICWHO]
RpoD	yahA[yahAp1]	+	"[HTTIM, IDA]"
RpoD	yahA[yahAp2]	+	[IDA]
RpoD	yahC[yahCp5]	+	[ICWHO]
RpoD	yahM[yahMp4]	+	[ICWHO]
RpoD	yaiI[yaiIp6]	+	[ICWHO]
RpoD	yaiO[yaiOp4]	+	[ICWHO]
RpoD	yaiS[yaiSp12]	+	[ICWHO]
RpoD	yaiS[yaiSp14]	+	[ICWHO]
RpoD	yaiV[yaiVp4]	+	[ICWHO]
RpoD	yaiY[yaiYp5]	+	[ICWHO]
RpoD	yaiY[yaiYp6]	+	[ICWHO]
RpoD	yaiZ[yaiZp6]	+	[ICWHO]
RpoD	yajD[yajDp5]	+	[ICWHO]
RpoD	ybaN[ybaNp6]	+	[ICWHO]
RpoD	ybaN[ybaNp8]	+	[ICWHO]
RpoD	ybaO[ybaOp]	+	[AIPP]
RpoD	ybaP[ybaPp3]	+	[ICWHO]
RpoD	ybaP[ybaPp4]	+	[ICWHO]
RpoD	ybaQ[ybaQp3]	+	[ICWHO]
RpoD	ybaV[ybaVp3]	+	[ICWHO]
RpoD	ybbB[selUp4]	+	[ICWHO]
RpoD	ybbB[selUp5]	+	[ICWHO]
RpoD	ybbO[ybbOp4]	+	[ICWHO]
RpoD	ybcI[ybcIp5]	+	[ICWHO]
RpoD	ybcJ[ybcJp3]	+	[ICWHO]
RpoD	ybcJ[ybcJp4]	+	[ICWHO]
RpoD	ybcJ[ybcJp7]	+	[ICWHO]
RpoD	ybcK[ybcKp5]	+	[ICWHO]
RpoD	ybcK[ybcKp7]	+	[ICWHO]
RpoD	ybcLM[ybcLp2]	+	[ICWHO]
RpoD	ybcLM[ybcLp7]	+	[ICWHO]
RpoD	ybcN-ninE-ybcO-rusA-ylcG[ybcNp5]	+	[ICWHO]
RpoD	ybcW[ybcWp7]	+	[ICWHO]
RpoD	ybdH[ybdHp7]	+	[ICWHO]
RpoD	ybdJ[ybdJp2]	+	[ICWHO]
RpoD	ybdJ[ybdJp4]	+	[ICWHO]
RpoD	ybdL[ybdLp3]	+	"[ICWHO, RS-EPT-CBR]"
RpoD	ybdN[ybdNp]	+	[AIPP]
RpoD	ybdR[ybdRp6]	+	[ICWHO]
RpoD	ybeF[ybeFp4]	+	[ICWHO]
RpoD	ybeF[ybeFp5]	+	[ICWHO]
RpoD	ybeF[ybeFp7]	+	[ICWHO]
RpoD	ybeQ[ybeQp5]	+	[ICWHO]
RpoD	ybeQ[ybeQp8]	+	[ICWHO]
RpoD	ybeQ[ybeQp11]	+	[ICWHO]
RpoD	ybeQ[ybeQp12]	+	[ICWHO]
RpoD	ybeR-djlB[ybeRp5]	+	[ICWHO]
RpoD	ybeR-djlB[ybeRp6]	+	[ICWHO]
RpoD	ybeT[ybeTp8]	+	[ICWHO]
RpoD	ybeU-djlC[ybeUp4]	+	[ICWHO]
RpoD	ybgC-tolQRA[ybgCp5]	+	[ICWHO]
RpoD	ybgO[ybgOp3]	+	[ICWHO]
RpoD	ybgS[ybgSp5]	+	[ICWHO]
RpoD	ybgS[ybgSp7]	+	[ICWHO]
RpoD	ybhA[ybhAp6]	+	[ICWHO]
RpoD	ybhA[ybhAp10]	+	[ICWHO]
RpoD	ybhB[ybhBp2]	+	[ICWHO]
RpoD	ybhD[ybhDp2]	+	[ICWHO]
RpoD	ybhD[ybhDp5]	+	[ICWHO]
RpoD	ybhH[ybhHp7]	+	[ICWHO]
RpoD	ybhM[ybhMp7]	+	[ICWHO]
RpoD	ybiO[ybiOp2]	+	[ICWHO]
RpoD	ybiU[ybiUp6]	+	[ICWHO]
RpoD	ybiU[ybiUp7]	+	[ICWHO]
RpoD	ybiV[ybiVp5]	+	[ICWHO]
RpoD	ybjC-nfsA-rimK-ybjN[ybjCp]	+	"[HIPP, TIM]"
RpoD	ybjL[ybjLp10]	+	[ICWHO]
RpoD	ybjL[ybjLp12]	+	[ICWHO]
RpoD	ybjM[ybjMp4]	+	[ICWHO]
RpoD	ybjM[ybjMp8]	+	[ICWHO]
RpoD	ybjO-rlmC[ybjOp5]	+	[ICWHO]
RpoD	ybjS[ybjSp3]	+	[ICWHO]
RpoD	ycaD[ycaDp6]	+	[ICWHO]
RpoD	ycaI-msbA-lpxK-ycaQ[ycaIp7]	+	[ICWHO]
RpoD	ycaK[ycaKp3]	+	[ICWHO]
RpoD	ycaK[ycaKp5]	+	[ICWHO]
RpoD	ycaL[ycaLp6]	+	[ICWHO]
RpoD	ycaL[ycaLp9]	+	[ICWHO]
RpoD	ycaM[ycaMp2]	+	[ICWHO]
RpoD	ycaM[ycaMp3]	+	[ICWHO]
RpoD	ycaM[ycaMp4]	+	[ICWHO]
RpoD	ycaM[ycaMp5]	+	[ICWHO]
RpoD	ycaR-kdsB[ycaRp]	+	"[HIPP, TIM]"
RpoD	ycbZ[ycbZp4]	+	[ICWHO]
RpoD	yccA[yccAp]	+	"[HIPP, TIM]"
