TF	TU	Function	Evidence that supports the existence of the regulatory interaction
NsrR	tsgA[tsgAp]	-	"[GEA, HIBSCS]"
NsrR	waaH[yibDp1]	-	"[GEA, HIBSCS]"
NsrR	ydbD[ydbDp]	-	"[GEA, HIBSCS]"
NsrR	yeaE[yeaEp]	-	"[GEA, HIBSCS]"
NsrR	yeaR-yoaG[yeaRp]	-	"[AIBSCS, GEA]"
NsrR	ygbA[ygbAp]	-	"[AIBSCS, GEA, HIBSCS]"
NsrR	ytfE[ytfEp]	-	"[AIBSCS, GEA, HIBSCS, SM]"
NtrC	argT-hisJQMP[argTp]	+	"[AIBSCS, GEA]"
NtrC	astCADBE[astCp2]	+	"[AIBSCS, BPP, GEA]"
NtrC	cbl[cblp]	+	[GEA]
NtrC	ddpXABCDF[ddpXp]	+	"[AIBSCS, GEA]"
NtrC	glnA[glnAp1]	-	"[BPP, GEA, HIBSCS, SM]"
NtrC	glnA[glnAp2]	+	"[BPP, GEA, HIBSCS, SM]"
NtrC	glnALG[glnAp1]	-	"[BPP, GEA, HIBSCS, SM]"
NtrC	glnALG[glnAp2]	+	"[BPP, GEA, HIBSCS, SM]"
NtrC	glnHPQ[glnHp2]	+	"[BPP, HIBSCS]"
NtrC	glnK-amtB[glnKp]	+	[HIBSCS]
NtrC	glnLG[glnLp]	-	"[BPP, HIBSCS, SM]"
NtrC	nac[nacp]	+	[HIBSCS]
NtrC	patA[patAp]	+	"[AIBSCS, GEA]"
NtrC	potFGHI[potFp1]	+	[GEA]
NtrC	rutABCDEFG[rutAp]	+	"[AIBSCS, GEA]"
NtrC	yeaGH[yeaGp1]	+	[GEA]
NtrC	yhdWXYZ[yhdWp]	+	"[AIBSCS, GEA]"
OmpR	bolA[bolAp1]	-	"[BPP, HIBSCS]"
OmpR	csgDEFG[csgDp1]	+	"[BPP, GEA, HIBSCS]"
OmpR	ecnB[ecnBp]	-	[HIBSCS]
OmpR	fadL[fadLp]	-	"[GEA, HIBSCS, SM]"
OmpR	flhDC[flhDp]	-	[HIBSCS]
OmpR	micF[micFp]	+	"[BPP, GEA, HIBSCS, SM]"
OmpR	nmpC[nmpCp]	-	"[HIBSCS, SM]"
OmpR	ompC[ompCp1]	+	"[BPP, GEA, HIBSCS, SM]"
OmpR	ompF[ompFp]	+	"[BPP, GEA, HIBSCS, SM, AIBSCS, BCE]"
OmpR	omrA[omrAp]	+	"[GEA, HIBSCS]"
OmpR	omrB[omrBp]	+	"[GEA, HIBSCS]"
OmpR	sra[srap]	-	[GEA]
OmpR	tppB[tppBp]	+	"[BPP, GEA]"
OxyR	ahpCF[ahpCp]	+	"[BPP, GEA, HIBSCS]"
OxyR	ahpCF[ahpCp2]	+	"[BPP, GEA, HIBSCS]"
OxyR	dps[dpsp]	+	[HIBSCS]
OxyR	dsbG[dsbGp]	+	"[BPP, GEA, HIBSCS]"
OxyR	fhuF[fhuFp]	-	"[BPP, GEA, HIBSCS]"
OxyR	flu[flup]	-	"[BPP, GEA, HIBSCS, SM]"
OxyR	gntP[gntPp]	-	"[GEA, HIBSCS]"
OxyR	gor[gorp]	+	[GEA]
OxyR	grxA[grxAp]	+	"[BPP, GEA, HIBSCS]"
OxyR	hcp-hcr[hcpp]	+	"[BPP, GEA]"
OxyR	hemH[hemHp]	+	"[BPP, GEA]"
OxyR	katG[katGp]	+	"[BPP, GEA, HIBSCS]"
OxyR	mntH[mntHp]	+	"[AIBSCS, GEA, HIBSCS, SM]"
OxyR	oxyR[oxyRp]	-	"[BPP, GEA, HIBSCS]"
OxyR	oxyS[oxySp]	+	"[BPP, GEA, HIBSCS]"
OxyR	sufABCDSE[sufAp]	+	"[BPP, GEA, SM]"
OxyR	trxC[trxCp]	+	"[BPP, GEA, HIBSCS]"
OxyR	uof-fur[uofp]	+	"[BPP, GEA, HIBSCS]"
OxyR	uxuAB[uxuAp]	-	"[GEA, HIBSCS]"
OxyR	ybjC-nfsA-rimK-ybjN[ybjCp]	-	"[BPP, GEA, HIBSCS]"
OxyR	ychF[ychFp]	-	"[BPP, HIBSCS]"
OxyR	yhjA[yhjAp]	+	"[AIBSCS, BPP, HIBSCS]"
PaaX	paaABCDEFGHIJK[paaAp]	-	"[BCE, GEA, HIBSCS, SM]"
PaaX	paaZ[paaZp]	-	"[BCE, GEA, HIBSCS, SM]"
PdhR	cyoABCDE[cyoAp]	-	"[BPP, GEA, HIBSCS]"
PdhR	fecABCDE[fecAp]	+	"[AIBSCS, GEA]"
PdhR	glcDEFGBA[glcDp]	-	"[AIBSCS, BPP, GEA]"
PdhR	grcA[yfiDp]	-	"[GEA, HIBSCS]"
PdhR	hemL[hemLp]	-	[AIBSCS]
PdhR	lipA[lipAp]	-	"[AIBSCS, BPP, HIBSCS]"
PdhR	mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC[mraZp]	-	"[AIBSCS, BPP, GEA]"
PdhR	ndh[ndhp]	-	"[BPP, GEA, HIBSCS]"
PdhR	pdhR-aceEF-lpd[pdhRp]	-	"[AIBSCS, BCE, BPP, GEA, HIBSCS]"
PdhR	tomB-hha[tomBp1]	-	[AIBSCS]
PepA	carAB[carAp1]	-	"[BPP, GEA, IMP]"
PepA	pepA[pepAp1]	-	[BPP]
PgrR	ycjY[ycjYp6]	-	"[BPP, GEA]"
PgrR	ycjY-ymjDC-mpaA[ycjYp6]	-	"[BPP, GEA]"
PhoB	adiC[adiCp7]	+	[GEA]
PhoB	amn[amnp1]	+	"[AIBSCS, GEA]"
PhoB	argP[argPp]	+	"[GEA, HIBSCS]"
PhoB	asr[asrp]	+	"[BCE, GEA, HIBSCS]"
PhoB	cra[fruRp8]	-	[GEA]
PhoB	cusCFBA[cusCp]	+	"[BPP, GEA, HIBSCS]"
PhoB	cusRS[cusRp]	+	"[BPP, GEA, HIBSCS]"
PhoB	eda[edap3]	-	"[BPP, GEA, HIBSCS]"
PhoB	feaR[feaRp2]	-	"[BPP, GEA, HIBSCS]"
PhoB	gadX[gadXp]	+	[GEA]
PhoB	gadXW[gadXp]	+	[GEA]
PhoB	mipA[mipAp]	+	"[BPP, GEA, HIBSCS]"
PhoB	ompF[ompFp]	+	[GEA]
PhoB	phnCDE_1E_2FGHIJKLMNOP[phnCp]	+	"[BPP, GEA, HIBSCS]"
PhoB	phoA-psiF[phoAp]	+	"[BCE, GEA, SM]"
PhoB	phoBR[phoBp]	+	"[BPP, GEA, HIBSCS]"
PhoB	phoE[phoEp]	+	"[BCE, GEA, SM]"
PhoB	phoH[phoHp1]	+	"[BPP, GEA, HIBSCS]"
PhoB	phoQ[phoQp5]	+	[GEA]
PhoB	phoU[phoUp]	+	[GEA]
PhoB	pitB[pitBp]	-	[IMP]
PhoB	prpR[prpRp]	-	"[BPP, GEA, HIBSCS]"
PhoB	psiE[psiEp]	+	"[BPP, GEA, HIBSCS]"
PhoB	pstS[pstSp]	+	"[BCE, GEA, HIBSCS, SM]"
PhoB	pstSCA[pstSp]	+	"[BCE, GEA, HIBSCS, SM]"
PhoB	pstSCAB-phoU[pstSp]	+	"[BCE, GEA, HIBSCS, SM]"
PhoB	sbcDC[sbcDp]	-	"[BPP, GEA, HIBSCS]"
PhoB	tktB[tktBp]	+	[GEA]
PhoB	ugpBAECQ[ugpBp1]	+	"[BPP, GEA, HIBSCS]"
PhoB	ugpBAECQ[ugpBp2]	-	"[BPP, GEA, HIBSCS]"
PhoB	waaH[yibDp1]	+	"[AIBSCS, GEA]"
PhoB	ydfH[ydfHp]	+	"[BPP, GEA, HIBSCS]"
PhoB	yedX[hiuHp6]	+	"[BPP, GEA, HIBSCS]"
PhoB	yegH[yegHp]	+	"[BPP, GEA, HIBSCS]"
PhoB	yhjC[yhjCp]	+	"[BPP, GEA, HIBSCS]"
PhoP	acrAB[acrAp]	-	[GEA]
PhoP	argD[argDp]	-	"[AIBSCS, GEA]"
PhoP	borD[borDp]	+	"[BPP, HIBSCS]"
PhoP	cysB[cysBp]	+	"[AIBSCS, HIBSCS]"
PhoP	dcuD[dcuDp]	-	"[AIBSCS, GEA]"
PhoP	fadL[fadLp]	+	"[AIBSCS, GEA]"
PhoP	gadE[gadEp1]	+	"[GEA, HIBSCS]"
PhoP	gadW[gadWp2]	+	"[BPP, GEA, HIBSCS]"
PhoP	glgAP[glgAp]	+	[GEA]
PhoP	glgBXCAP[glgBp]	+	"[AIBSCS, GEA]"
PhoP	hdeAB-yhiD[hdeAp]	+	"[BPP, GEA, HIBSCS]"
PhoP	hdeD[hdeDp]	+	"[BPP, GEA, HIBSCS]"
PhoP	hemL[hemLp]	+	"[BPP, GEA, HIBSCS]"
PhoP	iraM[iraMp]	+	"[BPP, GEA, HIBSCS]"
PhoP	iraM[iraMp2]	+	"[BPP, GEA, HIBSCS]"
PhoP	malS[malSp]	+	"[AIBSCS, GEA]"
PhoP	metBL[metBp]	+	"[AIBSCS, GEA]"
PhoP	mgrB[mgrBp]	+	"[BPP, GEA, HIBSCS]"
PhoP	mgrR[mgrRp]	+	"[GEA, HIBSCS]"
PhoP	mgtLA[mgtAp1]	+	"[BPP, GEA, HIBSCS, SM]"
PhoP	nagA[nagAp]	+	"[BPP, GEA, HIBSCS]"
PhoP	ompT[ompTp]	+	"[GEA, HIBSCS]"
PhoP	pagP[pagPp]	+	"[GEA, HIBSCS]"
PhoP	phoPQ[phoPp1]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
PhoP	phoPQ[phoPp2]	+	"[AIBSCS, BPP, GEA, HIBSCS]"
PhoP	purHD[purHp]	+	"[AIBSCS, GEA]"
PhoP	rstAB[rstAp]	+	"[AIBSCS, BPP, GEA, HIBSCS]"
PhoP	rutABCDEFG[rutAp]	+	"[AIBSCS, GEA]"
PhoP	safA-ydeO[safAp]	-	"[GEA, HIBSCS, SM]"
PhoP	slyB[slyBp1]	+	"[BPP, GEA, HIBSCS]"
PhoP	slyB[slyBp2]	-	"[BPP, GEA, HIBSCS]"
PhoP	tolC-ygiABC[tolCp2]	+	"[GEA, HIBSCS]"
PhoP	treR[treRp3]	-	"[BPP, GEA, HIBSCS, SM]"
PhoP	treR[treRp4]	-	"[BPP, GEA, HIBSCS, SM]"
PhoP	ybjG[ybjGp]	+	"[GEA, HIBSCS]"
PhoP	ydeP[ydePp]	-	"[GEA, HIBSCS]"
PhoP	yneM[yneMp]	+	"[GEA, HIBSCS]"
PhoP	yrbL[yrbLp]	+	"[AIBSCS, BPP, GEA, HIBSCS]"
PrpR	prpBCDE[prpBp]	+	"[GEA, HIBSCS]"
PrpR	prpR[prpRp]	-	"[GEA, HIBSCS]"
PspF	pspABCDE[pspAp]	+	"[BCE, BPP, GEA]"
PspF	pspF[pspFp1]	-	"[BCE, BPP, GEA]"
PspF	pspG[pspGp]	+	"[BPP, GEA, ICA]"
PurR	carAB[carAp1]	-	"[AIBSCS, BPP, GEA]"
PurR	codBA[codBp]	-	"[AIBSCS, GEA, HIBSCS]"
PurR	cvpA-purF-ubiX[cvpAp1]	-	"[BCE, BPP, GEA, HIBSCS, SM]"
PurR	gcvTHP[gcvTp]	-	"[AIBSCS, GEA, HIBSCS]"
PurR	glnB[glnBp2]	-	"[BCE, GEA, HIBSCS]"
PurR	glnB[glnBp1]	-	"[BCE, GEA, HIBSCS]"
PurR	glyA[glyAp]	-	"[AIBSCS, BPP, GEA, HIBSCS, SM]"
PurR	guaBA[guaBp]	-	"[AIBSCS, BCE, GEA]"
PurR	hflD-purB[hflDp]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
PurR	prs[prsp]	-	"[BCE, GEA, HIBSCS]"
PurR	purA[purAp]	-	"[BPP, GEA, HIBSCS]"
PurR	purC[purCp]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
PurR	purEK[purEp]	-	"[AIBSCS, BCE, GEA, HIBSCS]"
PurR	purHD[purHp]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
PurR	purL[purLp]	-	"[AIBSCS, BCE, GEA, HIBSCS]"
PurR	purMN[purMp]	-	"[AIBSCS, GEA, HIBSCS, SM]"
PurR	purR[purRp]	-	"[BCE, BPP, GEA, HIBSCS, SM]"
PurR	pyrC[pyrCp]	-	"[BPP, GEA, HIBSCS, SM]"
PurR	pyrD[pyrDp]	-	"[AIBSCS, BCE, GEA, HIBSCS]"
PurR	speAB[speAp]	-	"[BCE, GEA, HIBSCS]"
PutA	putA[putAp]	-	"[BPP, GEA, SM]"
PutA	putP[putPp1]	-	"[BPP, GEA, SM]"
PuuR	puuAP[puuAp]	-	"[BPP, GEA, IC, SM]"
PuuR	puuDRCBE[puuDp]	-	"[BPP, GEA, IC, SM]"
QseB	flhDC[flhDp]	+	[GEA]
QseB	qseBC[qseBp2]	+	"[BPP, GEA]"
RbsR	add[addp6]	+	"[AIBSCS, BPP, GEA]"
RbsR	purHD[purHp]	-	"[AIBSCS, BPP, GEA]"
RbsR	rbsDACBKR[rbsDp]	-	"[AIBSCS, BPP, GEA]"
RcdA	asr[asrp]	+	"[BPP, GEA, IC]"
RcdA	bluF[bluFp]	+	"[BPP, GEA, HIBSCS]"
RcdA	csgDEFG[csgDp1]	+	"[BPP, GEA, IC]"
RcdA	sulA[sulAp]	-	"[BPP, GEA, HIBSCS]"
RcdA	yagK[yagKp6]	-	[BPP]
RcdA	ydeI[ydeIp5]	+	"[BPP, GEA]"
RclR	rclABC[ykgCp1]	+	"[BPP, GEA]"
RcnR	rcnAB[rcnAp]	-	"[BPP, GEA]"
RcnR	rcnR[rcnRp]	-	"[BPP, GEA]"
RcsAB	csgDEFG[csgDp1]	-	[GEA]
RcsAB	flhDC[flhDp]	-	"[BPP, GEA, SM]"
RcsAB	rcsA[rcsAp]	+	"[AIBSCS, BCE, BPP, GEA, SM]"
RcsAB	wza-wzb-wzc-wcaAB[wzap]	+	"[AIBSCS, BPP, GEA, SM]"
RcsAB	yjbE[yjbEp1]	+	"[GEA, HIBSCS]"
RcsAB	yjbEFGH[yjbEp1]	+	"[GEA, HIBSCS]"
RcsB	bdm-sra[bdmp]	+	"[BPP, GEA]"
RcsB	ftsAZ[ftsAp1]	+	"[GEA, HIBSCS, SM]"
RcsB	gadAX[gadAp]	-	"[BPP, GEA, IHBCE, SM]"
RcsB	gadBC[gadBp]	+	"[GEA, HIBSCS]"
RcsB	gadY[gadYp]	+	[GEA]
RcsB	hdeAB-yhiD[hdeAp]	+	[GEA]
RcsB	hdeD[hdeDp]	+	[GEA]
RcsB	lolA-rarA[lolAp]	+	"[GEA, HIBSCS]"
RcsB	osmB[osmBp1]	+	"[GEA, HIBSCS]"
RcsB	osmC[osmCp1]	+	"[BPP, GEA, SM]"
RcsB	rprA[rprAp]	+	"[GEA, HIBSCS, SM]"
RcsB	safA-ydeO[safAp]	+	[GEA]
RcsB	ydeP[ydePp]	+	[GEA]
RcsB-BglJ	bglG[bglGp]	+	"[GEA, HIBSCS, SM]"
RcsB-BglJ	bglGFB[bglGp]	+	"[GEA, HIBSCS, SM]"
RcsB-BglJ	leuO[leuOp2]	+	"[GEA, HIBSCS, SM]"
RelB	relBE-hokD[relBp]	-	"[BPP, GEA, HIBSCS]"
RhaR	rhaSR[rhaSp]	+	"[BCE, BPP, GEA, HIBSCS]"
RhaS	rhaBAD[rhaBp]	+	"[BCE, BPP, GEA, HIBSCS, SM]"
RhaS	rhaSR[rhaSp]	+	"[BPP, GEA, HIBSCS]"
RhaS	rhaT[rhaTp]	+	"[AIBSCS, BPP, GEA, HIBSCS, SM]"
Rob	acnA[acnAp2]	+	"[GEA, HIBSCS]"
Rob	acrAB[acrAp]	+	"[BPP, GEA]"
Rob	acrZ[acrZp]	+	"[GEA, IHBCE]"
Rob	aslB[aslBp]	+	[GEA]
Rob	fumC[fumCp1]	+	"[BPP, GEA, IEP]"
Rob	inaA[inaAp]	+	"[BPP, GEA, HIBSCS]"
Rob	marRAB[marRp]	+	"[BPP, GEA, HIBSCS, SM]"
Rob	micF[micFp]	+	"[BPP, GEA, HIBSCS]"
Rob	mltF[mltFp]	+	[GEA]
Rob	nfo[nfop]	+	"[GEA, HIBSCS]"
Rob	nfsB[nfsBp]	+	"[GEA, HIBSCS]"
Rob	rob[robp]	-	"[BPP, GEA, HIBSCS]"
Rob	sodA[sodAp]	+	[HIBSCS]
Rob	tolC-ygiABC[tolCp4]	+	"[AIBSCS, GEA]"
Rob	tolC-ygiABC[tolCp3]	+	"[AIBSCS, GEA]"
Rob	ybiS[ybisp]	+	[GEA]
Rob	ybjC-nfsA-rimK-ybjN[ybjCp]	+	"[GEA, HIBSCS]"
Rob	zwf[zwfp]	+	[BPP]
RstA	asr[asrp]	+	"[BPP, GEA, HIBSCS]"
RstA	csgDEFG[csgDp1]	-	"[BPP, GEA, HIBSCS]"
RstA	csgDEFG[csgDp2]	-	"[BPP, GEA, HIBSCS]"
RstA	narGHJI[narGp]	+	[HIBSCS]
RstA	ompF[ompFp]	-	"[HIBSCS, NTAS]"
RtcR	rtcBA[rtcBp]	+	[GEA]
RutR	carAB[carAp1]	+	"[AIBSCS, BPP, GEA, SM]"
RutR	fepB[fepBp]	-	"[AIBSCS, BPP, GEA]"
RutR	gadX[gadXp]	-	"[BPP, GEA]"
RutR	gadXW[gadXp]	-	"[BPP, GEA]"
RutR	gmr[gmrp]	-	[GEA]
RutR	nemRA[nemRp]	-	"[AIBSCS, BPP, GEA]"
RutR	nemRA-gloA[nemRp]	-	"[AIBSCS, BPP, GEA]"
RutR	rutABCDEFG[rutAp]	-	"[AIBSCS, BPP, GEA]"
RutR	rutR[rutRp2]	-	"[AIBSCS, BPP, GEA]"
SdiA	ftsQ[ftsQp2]	+	"[BPP, GEA]"
SdiA	ftsQAZ[ftsQp1]	-	"[BPP, GEA]"
SdiA	gadW[gadWp2]	+	[GEA]
SdiA	ydiV[ydiVp]	+	"[AIBSCS, BPP, GEA]"
SgrR	alaC[alaCp]	+	"[GEA, HIBSCS, SM]"
SgrR	sgrR-sroA-tbpA-thiPQ[sgrRp]	-	"[BPP, GEA, HIBSCS, SM]"
SgrR	sgrST-setA[sgrSp]	+	"[BPP, GEA, HIBSCS, SM]"
SlyA	hlyE[hlyEp]	+	"[BPP, GEA]"
SoxR	fumC[fumCp]	+	"[BPP, GEA]"
SoxR	soxR[soxRp]	-	"[BPP, GEA]"
SoxR	soxS[soxSp]	+	"[BPP, GEA]"
SoxS	acnA[acnAp2]	+	"[BPP, GEA, HIBSCS]"
SoxS	acrAB[acrAp]	+	"[BPP, GEA, HIBSCS]"
SoxS	acrZ[acrZp]	+	"[GEA, IHBCE]"
SoxS	fldA-uof-fur[fldAp]	+	"[BPP, GEA, HIBSCS]"
SoxS	fldB[fldBp]	+	"[GEA, HIBSCS]"
SoxS	fpr[fprp]	+	"[BPP, GEA, HIBSCS]"
SoxS	fumC[fumCp]	+	"[BPP, GEA]"
SoxS	inaA[inaAp]	+	"[BPP, GEA, HIBSCS]"
SoxS	marRAB[marRp]	+	"[BPP, GEA, HIBSCS]"
SoxS	micF[micFp]	+	"[BCE, BPP]"
SoxS	nfo[nfop]	+	"[BCE, GEA, HIBSCS]"
SoxS	nfsB[nfsBp]	+	"[BPP, GEA, HIBSCS]"
SoxS	pgi[pgip]	+	"[GEA, HIBSCS]"
SoxS	poxB[poxBp]	+	"[GEA, HIBSCS]"
SoxS	pqiAB[pqiAp1]	+	"[BPP, GEA, HIBSCS, SM]"
SoxS	ptsG[ptsGp1]	+	"[BPP, GEA, HIBSCS]"
SoxS	ribA[ribAp1]	+	"[BPP, GEA, HIBSCS]"
SoxS	rob[robp]	-	"[BPP, HIBSCS]"
SoxS	sodA[sodAp]	+	"[BCE, BPP, GEA, HIBSCS]"
SoxS	soxS[soxSp]	-	"[BPP, GEA]"
SoxS	tolC-ygiABC[tolCp4]	+	"[AIBSCS, GEA]"
SoxS	tolC-ygiABC[tolCp3]	+	"[AIBSCS, GEA]"
SoxS	uof-fur[uofp]	+	[BPP]
SoxS	waaYZ[rfaYp]	+	"[BPP, GEA, HIBSCS]"
SoxS	ybjC-nfsA-rimK-ybjN[ybjCp]	+	"[BPP, GEA, HIBSCS]"
SoxS	ydbK[ydbKp]	+	"[BPP, GEA, HIBSCS, SM]"
SoxS	ydbK-ompN[ydbKp]	+	"[BPP, GEA, HIBSCS, SM]"
SoxS	zinT[zinTp]	+	[GEA]
SoxS	zwf[zwfp]	+	"[BPP, GEA, HIBSCS, SM]"
StpA	bglG[bglGp]	-	[GEA]
StpA	bglGFB[bglGp]	-	[GEA]
StpA	leuO[leuOp2]	-	[GEA]
StpA	ssrS[ssrSp1]	-	"[BPP, GEA]"
StpA	ssrS[ssrSp2]	-	"[BPP, GEA]"
StpA	ssrS-fau[ssrSp1]	-	"[BPP, GEA]"
StpA	ssrS-fau[ssrSp2]	-	"[BPP, GEA]"
StpA	stpA[stpAp1]	-	[GEA]
TdcA	tdcABCDEFG[tdcAp]	+	"[BCE, GEA, SM]"
TorR	gadAX[gadAp]	-	"[AIBSCS, GEA]"
TorR	hdeAB-yhiD[hdeAp]	+	"[AIBSCS, GEA]"
TorR	tnaC[tnaCp]	+	"[BPP, GEA]"
TorR	tnaCAB[tnaCp]	+	"[BPP, GEA]"
TorR	torCAD[torCp]	+	"[BCE, BPP, GEA, HIBSCS, SM]"
TorR	torR[torRp]	-	"[BCE, BPP, GEA, HIBSCS, SM]"
TreR	treBC[treBp]	-	"[BPP, GEA, HIBSCS]"
TrpR	aroH[aroHp1]	-	"[BPP, GEA, HIBSCS]"
TrpR	aroL-yaiA-aroM[aroLp]	-	"[BPP, GEA, HIBSCS, SM]"
TrpR	mtr[mtrp2]	-	"[BPP, GEA, HIBSCS]"
TrpR	trpL[trpLp]	-	"[BPP, GEA, HIBSCS, SM]"
TrpR	trpLEDCBA[trpLp]	-	"[BPP, GEA, HIBSCS, SM]"
TrpR	trpR[trpRp]	-	"[BPP, GEA, HIBSCS]"
TyrR	aroF-tyrA[aroFp]	-	"[GEA, HIBSCS, SM]"
TyrR	aroG[aroGp]	-	"[BPP, HIBSCS, SM]"
TyrR	aroL-yaiA-aroM[aroLp]	-	"[BPP, GEA, SM]"
TyrR	aroP[aroPp1]	-	"[BPP, GEA, HIBSCS, SM]"
TyrR	aroP[aroPp2]	-	"[BPP, GEA, HIBSCS, SM]"
TyrR	folA[folAp]	+	"[BPP, GEA, HIBSCS, SM]"
TyrR	mtr[mtrp2]	+	"[BPP, GEA, HIBSCS, SM]"
TyrR	tyrB[tyrBp]	-	"[BPP, GEA, HIBSCS, SM]"
TyrR	tyrP[tyrPp1]	+-	"[BCE, BPP, GEA, SM]"
TyrR	tyrR[tyrRp]	-	"[GEA, HIBSCS]"
UhpA	uhpT[uhpTp]	+	"[BCE, BPP, GEA, SM]"
UidR	uidABC[uidAp]	-	[GEA]
UidR	uidR[uidRp]	-	[GEA]
UlaR	ulaABCDEF[ulaAp]	-	"[BPP, GEA, SM]"
UlaR	ulaG[ulaGp]	-	"[BPP, GEA]"
UxuR	gntP[gntPp]	-	"[BPP, GEA, HIBSCS, SM]"
UxuR	uidABC[uidAp]	-	"[GEA, HIBSCS]"
UxuR	uxuAB[uxuAp]	-	"[BPP, GEA, HIBSCS, SM]"
UxuR	uxuR[uxuRp]	-	"[AIBSCS, GEA]"
UxuR	yjjM[yjjMp4]	-	[GEA]
XapR	xapAB[xapAp]	+	"[GEA, HIBSCS]"
XylR	xylAB[xylAp]	+	"[BPP, GEA, HIBSCS]"
XylR	xylFGHR[xylFp]	+	"[BPP, GEA, HIBSCS]"
YdeO	gadE[gadEp2]	+	[GEA]
YdeO	gadE[gadEp3]	+	[GEA]
YdeO	gadE-mdtEF[gadEp]	+	"[BPP, GEA]"
YdeO	safA-ydeO[safAp]	-	[GEA]
YefM	yefM-yoeB[yefMp]	-	"[BPP, GEA, HIBSCS]"
YehT	yjiY[yjiYp]	+	"[BPP, GEA, SM]"
YeiL	yeiL[yeiLp]	+	[GEA]
YiaJ	yiaJ[yiaJp]	-	"[BCE, GEA]"
YiaJ	yiaKLMNO-lyxK-sgbHUE[yiaKp]	-	"[BCE, GEA]"
YpdB	yhjX[yhjXp]	+	"[BPP, SM]"
YqhC	yqhD-dkgA[yqhDp]	+	"[BPP, GEA, SM]"
YqjI	yqjH[yqjHp]	-	"[GEA, HIBSCS]"
YqjI	yqjI[yqjIp]	-	"[GEA, HIBSCS]"
ZntR	zntA[zntAp]	+	"[BPP, SM]"
ZraR	zraP[zraPp]	+	"[BPP, GEA, HIBSCS]"
ZraR	zraSR[zraSp]	+	"[BPP, GEA, HIBSCS]"
Zur	ykgMO[ykgMp]	-	"[AIBSCS, GEA, HIBSCS]"
Zur	zinT[zinTp]	-	[AIBSCS]
Zur	znuA[znuAp]	-	"[BPP, GEA, HIBSCS]"
Zur	znuCB[znuCp]	-	"[BPP, GEA, HIBSCS]"
