TU	Gene
rnpB	rnpB
gatR_1	gatR_1
gatR_2	gatR_2
gatYZABCD	gatY
gatYZABCD	gatZ
gatYZABCD	gatA
gatYZABCD	gatB
gatYZABCD	gatC
gatYZABCD	gatD
gatZABCD	gatZ
gatZABCD	gatA
gatZABCD	gatB
gatZABCD	gatC
gatZABCD	gatD
gcd	gcd
gcl-hyi-glxR-ybbW-allB-ybbY-glxK	gcl
gcl-hyi-glxR-ybbW-allB-ybbY-glxK	hyi
gcl-hyi-glxR-ybbW-allB-ybbY-glxK	glxR
gcl-hyi-glxR-ybbW-allB-ybbY-glxK	ybbW
gcl-hyi-glxR-ybbW-allB-ybbY-glxK	allB
gcl-hyi-glxR-ybbW-allB-ybbY-glxK	ybbY
gcl-hyi-glxR-ybbW-allB-ybbY-glxK	glxK
glxK	glxK
ybbY-glxK	ybbY
ybbY-glxK	glxK
gcvA	gcvA
gcvB	gcvB
gcvR	gcvR
gcvP	gcvP
gcvTHP	gcvT
gcvTHP	gcvH
gcvTHP	gcvP
gdhA	gdhA
gfcA	gfcA
gfcBCD	gfcB
gfcBCD	gfcC
gfcBCD	gfcD
gfcD	gfcD
etk	etk
gfcE-etp-etk	gfcE
gfcE-etp-etk	etp
gfcE-etp-etk	etk
ggt	ggt
ghoST	ghoS
ghoST	ghoT
ghrA	ghrA
ghrB	ghrB
ghxP	ghxP
glcC	glcC
glcA	glcA
glcBA	glcB
glcBA	glcA
glcDEFGBA	glcD
glcDEFGBA	glcE
glcDEFGBA	glcF
glcDEFGBA	glcG
glcDEFGBA	glcB
glcDEFGBA	glcA
glf-wbbH	glf
glf-wbbH	wbbH
wbbH	wbbH
glgAP	glgA
glgAP	glgP
glgBXCAP	glgB
glgBXCAP	glgX
glgBXCAP	glgC
glgBXCAP	glgA
glgBXCAP	glgP
glgCAP	glgC
glgCAP	glgA
glgCAP	glgP
glgP	glgP
glgXCAP	glgX
glgXCAP	glgC
glgXCAP	glgA
glgXCAP	glgP
glgS	glgS
glk	glk
glmS	glmS
glmUS	glmU
glmUS	glmS
glmY	glmY
glmZ	glmZ
glnA	glnA
glnALG	glnA
glnALG	glnL
glnALG	glnG
glnLG	glnL
glnLG	glnG
glnHPQ	glnH
glnHPQ	glnP
glnHPQ	glnQ
glnQ	glnQ
glnK-amtB	glnK
glnK-amtB	amtB
glnS	glnS
gloB	gloB
glpABC	glpA
glpABC	glpB
glpABC	glpC
glpD	glpD
glpEGR	glpE
glpEGR	glpG
glpEGR	glpR
glpGR	glpG
glpGR	glpR
glpR	glpR
glpFKX	glpF
glpFKX	glpK
glpFKX	glpX
glpX	glpX
glpTQ	glpT
glpTQ	glpQ
glrK	glrK
glnB	glnB
glrR	glrR
glrR-glnB	glrR
glrR-glnB	glnB
gltA	gltA
gltBDF	gltB
gltBDF	gltD
gltBDF	gltF
gltI-sroC-gltJKL	gltI
gltI-sroC-gltJKL	sroC
gltI-sroC-gltJKL	gltJ
gltI-sroC-gltJKL	gltK
gltI-sroC-gltJKL	gltL
gltP	gltP
gltS	gltS
gltX	gltX
glvCBG-ysdC	glvC
glvCBG-ysdC	glvB
glvCBG-ysdC	glvG
glvCBG-ysdC	ysdC
glyA	glyA
glyQS	glyQ
glyQS	glyS
glyS	glyS
glyU	glyU
glyVXY	glyV
glyVXY	glyX
