TU	Promoter
gltX	gltXp1
gltX	gltXp2
gltX	gltXp3
gluQ	gluQp1
glxK	glxKp
glyA	glyAp
glyQS	glyQp
glyS	glySp4
glyU	glyUp
glyVXY	glyVp
glyW-cysT-leuZ	glyWp
gmhB	gmhBp
gmk	gmkp
gmr	gmrp
gnd	gndp
gnsB	gnsBp
gntK	gntKp
gntKU	gntKp
gntP	gntPp
gntRKU	gntRp1
gntR	gntRp2
gntR	gntRp3
gntR	gntRp4
gntT	gntTp1
gntT	gntTp2
gntT	gntTp3
gntU	gntUp2
gntX-nfuA	gntXp
gor	gorp
gpmA	gpmAp
gpmA	gpmAp2
gpmM-envC-yibQ	gpmMp
gpmM-envC-yibQ	gpmMp2
yghZ	gprp1
gpsA	gpsAp5
gpsA	gpsAp8
gpt	gptp
greA	greAp1
greA	greAp2
greB	greBp7
greB	greBp8
groL	groLp1
groL	groLp2
groL	groLp3
groSL	groSp
grpE	grpEp
grxA	grxAp
grxB	grxBp
grxB	grxBp2
grxB	grxBp4
grxC	grxCp2
grxD	grxD
gspAB	gspAp1
gspAB	gspAp2
gspAB	gspAp3
gspAB	gspAp4
gspCDEFGHIJKLMO	gspCp1
gspCDEFGHIJKLMO	gspCp2
gspCDEFGHIJKLMO	gspCp3
gss	gssp
gstA	gstAp
gstB	gstBp
guaBA	guaBp
gudD	gudDp1
gudPXD	gudPp
gyrA	gyrAp
gyrB	gyrBp
hcaEFCBD	hcaEp
hcaR	hcaRp
hcaT	hcaTp1
hcaT	hcaTp6
hcaT	hcaTp7
hchA	hchAp
hchA	hchAp2
hcp-hcr	hcpp
hcp-hcr	hcpp2
hcr	hcrp3
hda	hdap
hdeAB-yhiD	hdeAp
hdeD	hdeDp
hdfR	hdfRp
hdfR	hdfRp6
hdhA	hdhAp
helD	helDp
hemA-prfA-prmC	hemAp1
hemA	hemAp2
hemB	hemBp7
hemF	hemFp
hemH	hemHp
hemL	hemLp
hemL	hemLp1
hemL	hemLp2
hemN	hemNp
hepA-rluA	hepAp
hepA	hepAp2
hflD-purB	hflDp
hfq-hflXKC	hfqp1
hfq-hflXKC	hfqp2
hfq-hflXKC	hfqp3
hha	hhap6
hicAB	hicAp
higA	higAp8
higBA	higBp
hinT-ycfL-lpoB-thiK-nagZ-ycfP	hinTp1
hinT-ycfL-lpoB-thiK-nagZ-ycfP	hinTp2
hinT-ycfL-lpoB-thiK-nagZ-ycfP	hinTp3
hipBA	hipBp
hisBHAFI	hisBp
hisJQMP	hisJp
hisL	hisLp
hisLGDCBHAFI	hisLp
hisS	hisSp
yedX	hiuHp6
hlpA-lpxD-fabZ-lpxA	hlpAp
hlyE	hlyEp
hmp	hmpAp
hns	hnsp
hofMNOP	hofMp
hokA	hokAp6
hokC	hokCp4
hokE	hokEp
holC-valS	holCp
holD-rimI-yjjG	holDp
holE	holEp4
holE	holEp5
holE	holEp6
hpt	hptp
hrpB	hrpBp2
hscBA-fdx-iscX	hscBp
hscC	hscCp5
hscC	hscCp7
hsdS	hsdSp1
hslJ	hslJp
hslO	hslOp3
hslO	hslOp4
hslRO	hslRp
hslVU	hslVp
hspQ	hspQp
hsrA	hsrAp4
hsrA	hsrAp6
htgA	htgAp1
htgA	htgAp2
htpG	htpGp1
htpG	htpGp2
htpG	htpGp3
htpX	htpXp
htrE	htrEp1
htrE	htrEp5
hupA	hupAp
hupB	hupBp1
hupB	hupBp2
hupB	hupBp3
hupB	hupBp4
hyaABCDEF	hyaAp
hybOABCDEFG	hybOp1
hycABCDEFGHI	hycAp
hycI	hycIp4
hydN-hypF	hydNp
hyfABCDEFGHIJR-focB	hyfAp
hypABCDE	hypAp
hypABCDE-fhlA	hypAp
hypBCDE	hypBp
hypBCDE-fhlA	hypBp
hypF	hypFp1
hypF	hypFp2
hypF	hypFp3
hypT	hypTp4
hyuA	hyuAp1
hyuA	hyuAp6
iaaA-gsiABCD	iaaAp
iadA	iadAp3
iap	iapp6
iap	iapp7
ibaG-murA	ibaGp
ibaG	ibaGp2
ibaG	ibaGp4
ibaG	ibaGp9
ibpAB	ibpAp
ibpB	ibpBp
icd	icdAp1
icd	icdAp2
iclR	iclRp
idi	idip10
idi	idip4
idi	idip5
idi	idip7
idnDOTR	idnDp
idnK	idnKp
idnR	idnRp
ihfA	ihfAp4
ihfB	ihfBp
ileS-lspA-fkpB-ispH	ileSp1
ileS-lspA-fkpB-ispH	ileSp2
ileS-lspA-fkpB-ispH	ileSp3
ileX	ileXp
ilvA	ilvAp
ilvC	ilvCp
ilvEDA	ilvEp3
ilvIH	ilvIHp1
ilvIH	ilvIp2
ilvIH	ilvIp3
ilvIH	ilvIp4
ilvL	ilvLp1
ilvLXG_1G_2MEDA	ilvLp1
ilvL	ilvLp2
ilvLXG_1G_2MEDA	ilvLp2
ilvY	ilvYp
lptD	impp1
lptD	impp2
lptD-surA-pdxA	impp3
inaA	inaAp
infA	infAp1
infA	infAp2
infC	infCp
infC-rpmI-rplT	infCp2
insA-5AB-5B-5	insA-5p
insA-7	insAp13
insA-7	insAp14
insC-5CD-5D-5-yqiGHI	insC-5p
insEF-2F-2	insFp4
insEF-4F-4	insFp4
insEF-2F-2	insFp5
insEF-4F-4	insFp5
insG	insGp6
insH-6	insHp2
insH-11	insHp3
insH-3	insHp3
insH-5	insHp3
insH-11	insHp4
insH-2	insHp4
insH-6	insHp4
insH-7	insHp4
insH-9	insHp4
insH-1	insHp5
insH-3	insHp5
insH-7	insHp5
insH-3	insHp6
insH-7	insHp6
insH-4	insHp7
insI-3	insIp5
insJ	insJp4
insK	insKp
insL-1	insLp5
insL-2	insLp5
insL-3	insLp5
insL-1	insLp6
insN-1I-1O-1	insN-1p
insN-2	insNp
intD	intDp6
intR	intRp4
intS	intSp
intS	intSp5
intZ	intZp3
iraD	iraDp1
iraD	iraDp2
iraM	iraMp
iraM	iraMp2
iraP	iraPp1
iraP	iraPp2
iscA	iscAp6
iscA	iscAp7
iscRSUA	iscRp
iscX	iscXp3
ispF	ispFp2
ispF	ispFp3
ispG-sroE	ispGp1
ispG-sroE	ispGp4
ispG-sroE	ispGp5
ispU	ispUp1
ispU	ispUp2
istR-1	istR-1p
istR-2	istR-2p
ivbL	ivbLp
ivbL-ilvBN	ivbLp
ivy	ivyp4
ivy	ivyp5
katE	katEp
katG	katGp
kbaZ-agaVWA	kbaZp
kbl-tdh	kblp
kch	kchp
kdgR	kdgRp1
kdgR	kdgRp8
kdgR	kdgRp9
kdpE	kdpEp3
kdpFABC	kdpFp
kdsA	kdsAp
kdsC-lptCAB	kdsCp1
kdsC-lptCAB	kdsCp2
kdsC-lptCAB	kdsCp3
kduI	kduIp5
mscK	kefAp
kefFC	kefFp2
kgtP	kgtPp6
kgtP	kgtPp7
kgtP	kgtPp8
kup	kupp1
kup	kupp2
kup	kupp3
lacI	lacIp
lacYA	lacYp
lacZYA	lacZp1
lacZYA	lacZp2
lacZYA	lacZp3
lacZYA	lacZp4
ldcA	ldcAp9
ldcC	ldcCp
ldhA	ldhAp
ldrA	ldrAp8
ldrB	ldrBp5
ldrC	ldrCp4
ldrD	ldrDp
lepAB	lepAp
lepB	lepBp1
leuD	leuDp4
leuE	leuEp
leuE	leuEp4
leuL	leuLp
leuLABCD	leuLp
leuLABCD	leuLp2
leuO	leuOp
leuO	leuOp1
leuO	leuOp2
leuQPV	leuQp
leuU	leuUp
leuV	leuVp2
leuX	leuXp
cysT-leuZ	leuZp3
lexA-dinF	lexAp
lhr	lhrp
ligA-ypeB	ligAp
ligB	ligBp1
ligB	ligBp4
lipA	lipAp
lipB	lipBp2
lipB	lipBp3
lit	litp1
lit	litp8
lit	litp9
livJ	livJp
livKHMGF	livKp1
livKHMGF	livKp2
lldPRD	lldPp
lnt	lntp4
loiP	loiPp
lolA-rarA	lolAp
lolB-ispE-prs	lolBp
lolCDE	lolCp5
lolCDE	lolCp6
lon	lonp
lpcA	lpcAp1
lpd	lpdAp
lplA	lplAp2
lplT	lplTp3
lpoA	lpoAp2
lpp	lpp
lpp	lppp2
lptAB	lptAp1
lptAB	lptAp2
lptB-rpoN-hpf-ptsN-rapZ	lptBp
lptFG	lptFp5
lptFG	lptFp6
lpxC	lpxCp1
lpxC	lpxCp2
lpxD	lpxDp
lpxL	lpxLp
lpxM	lpxMp4
lpxP	lpxPp
lrhA	lrhAp
lrp	lrpp
lspA-fkpB-ispH	lspAp
lsrACDBFG-tam	lsrAp
lsrRK	lsrRp
ltaE-ybjT	ltaEp
luxS	luxSp1
luxS	luxSp2
lysA	lysAp
lysC	lysCp1
lysC	lysCp2
lysP	lysPp
